,職業名,awareness_score,awareness_label,recommendable,label_note
118,スポーツインストラクター,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
119,自動車教習指導員,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
120,音楽教室講師,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
121,ビデオレンタル店店員,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
125,ピアノ調律師,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
126,ネイリスト,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
130,介護支援専門員/ケアマネジャー,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
134,キャリアカウンセラー/キャリアコンサルタント,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
135,福祉用具専門相談員,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
140,麻薬取締官,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
142,裁判官,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
144,家庭裁判所調査官,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
150,陸上自衛官,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
153,消防官,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
155,助産師,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
156,薬剤師,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
159,臨床検査技師,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
163,歯科技工士,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
167,言語聴覚士,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
169,栄養士,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
173,はり師・きゅう師,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
175,幼稚園教員,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
182,学芸員,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
184,観光バス運転士,2,知っている,False,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
188,船舶機関士,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
190,鉄道車掌,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
191,空港グランドスタッフ,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
193,鉄道運転計画・運行管理,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
195,ガソリンスタンド・スタッフ,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
197,タクシー配車オペレーター,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
198,引越作業員,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
207,図書編集者,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
208,雑誌編集者,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
210,録音エンジニア,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
213,アナウンサー,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
215,厩舎スタッフ,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
216,アウトドアインストラクター,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
219,造園工,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
220,獣医師,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
223,犬訓練士,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
229,産業用ロボットの設置・設定,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
231,太陽光発電の企画・調査,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
236,ネット通販の運営,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
237,Webマーケティング（ネット広告・販売促進）,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
238,施設警備員,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
242,老人福祉施設生活相談員,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
245,植物工場の設計、施工,0,知らない,False,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
246,植物工場の栽培管理,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
248,鋳造工/鋳造設備オペレーター,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
251,金属プレス工,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
259,機械設計技術者,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
260,光学機器組立,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
261,自動車組立,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
263,計器組立,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
266,物流設備管理・保全,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
267,自動車技術者,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
268,精密機器技術者,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
270,電子機器技術者,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
271,電気通信技術者,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
276,染色工/染色設備オペレーター,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
277,ミシン縫製,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
278,木材製造,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
286,靴製造,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
290,医薬品製造,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
292,タイヤ製造,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
293,化粧品製造,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
295,化学製品製造オペレーター,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
299,陶磁器技術者,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
300,ファインセラミックス製造技術者,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
303,高分子化学技術者,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
304,バイオテクノロジー技術者,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
305,宇宙開発技術者,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
306,航空機開発エンジニア（ジェットエンジン）,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
307,システムエンジニア（受託開発）,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
315,ヘルプデスク（IT）,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
317,プロジェクトマネージャ（IT）,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
319,DXプロデューサー,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
323,動画制作,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
327,広告デザイナー,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
328,広告ディレクター,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
332,インテリアデザイナー,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
340,テクニカルイラストレーター,0,知らない,False,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
341,スタイリスト,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
342,ブックデザイナー,0,知らない,False,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
344,フラワーデザイナー,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
351,テレビカメラマン,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
355,印刷オペレーター,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
358,広報コンサルタント,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
359,人事コンサルタント,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
363,情報工学研究者,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
364,医学研究者,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
373,職業訓練指導員,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
376,外科医,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
378,内科医,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
383,福祉ソーシャルワーカー,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
390,接客担当（ホテル・旅館）,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
391,ホールスタッフ（レストラン）,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
395,リフレクソロジスト,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
400,秘書,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
402,一般事務,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
409,調剤薬局事務,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
410,介護事務,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
413,貿易事務,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
414,損害保険事務,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
416,学校事務,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
420,企業法務担当,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
426,コンサルティング営業（IT）,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
427,保険営業（生命保険、損害保険）,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
432,商品企画開発（チェーンストア）,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
433,OA機器営業,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
438,自転車販売,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
440,内部監査人,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
441,ファンドマネージャー,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
443,代理店営業（保険会社）,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
446,雑踏・交通誘導警備員,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
448,トラックドライバー,2,知っている,False,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
449,トレーラートラックドライバー,1,名前は聞いたことがある,False,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
454,宅配便配達員,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
455,新聞配達員,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
457,ピッキング作業員,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
460,製品包装作業員,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
462,バックヤード作業員（スーパー食品部門）,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
463,調理補助,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
464,給食調理員,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
467,産業廃棄物収集運搬作業員,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
477,果樹栽培者,2,知っている,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
478,花き栽培者,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
483,国会議員,2,知っている,False,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
487,法務技官（心理）（矯正心理専門職）,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
499,自動運転開発エンジニア（自動車）,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
502,キッティング作業員（PCセットアップ作業員）,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
504,セキュリティエキスパート（デジタルフォレンジック）,0,知らない,False,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
508,人事課長,1,名前は聞いたことがある,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
511,デバッグ作業,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
526,訪問介護のサービス提供責任者,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
530,配電盤・制御盤等組立,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
531,社会学研究者,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
535,検疫官（看護師）,0,知らない,True,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
544,オーケストラ奏者（団員）,2,知っている,False,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
546,整形外科医,2,知っている,False,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
553,声優,2,知っている,False,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
555,3Dプリンター技術者,1,名前は聞いたことがある,False,ラベル作成者1名による代理ラベル（実測ではなく主観判定）
